longitude,latitude,altitude,timestamp
11.356855,48.183117,512,2022-04-27 15:44:53
11.35686,48.1831285,512,2022-04-27 15:44:54
11.356865,48.18314,512,2022-04-27 15:44:55
11.356864,48.183162,512,2022-04-27 15:44:56
11.356863,48.183184,512,2022-04-27 15:44:57
11.3568495,48.1832245,512,2022-04-27 15:44:58
11.356836,48.183265,512,2022-04-27 15:44:59
11.3568075,48.1833025,512,2022-04-27 15:45:00
11.356779,48.18334,512,2022-04-27 15:45:01
11.356739,48.1833725,512,2022-04-27 15:45:02
11.356699,48.183405,512,2022-04-27 15:45:03
11.356644,48.1834325,512,2022-04-27 15:45:04
11.356589,48.18346,512,2022-04-27 15:45:05
11.35652,48.183478,512,2022-04-27 15:45:06
11.356451,48.183496,512,2022-04-27 15:45:07
11.3563805,48.183502,512,2022-04-27 15:45:08
11.35631,48.183508,512,2022-04-27 15:45:09
11.356245,48.183504,512,2022-04-27 15:45:10
11.35618,48.1835,512,2022-04-27 15:45:11
11.356117,48.183484,512,2022-04-27 15:45:12
11.356054,48.183468,512,2022-04-27 15:45:13
11.355999,48.1834395,512,2022-04-27 15:45:14
11.355944,48.183411,512,2022-04-27 15:45:15
11.3559035,48.1833765,513,2022-04-27 15:45:16
11.355863,48.183342,513,2022-04-27 15:45:17
11.3558345,48.183308,513,2022-04-27 15:45:18
11.355806,48.183274,513,2022-04-27 15:45:19
11.355783,48.1832425,513,2022-04-27 15:45:20
11.35576,48.183211,513,2022-04-27 15:45:21
11.355735,48.183178,512,2022-04-27 15:45:22
11.35571,48.183145,512,2022-04-27 15:45:23
11.355678,48.1831095,512,2022-04-27 15:45:24
11.355646,48.183074,512,2022-04-27 15:45:25
11.355608,48.183036,512,2022-04-27 15:45:26
11.35557,48.182998,511,2022-04-27 15:45:27
11.355526,48.1829595,511,2022-04-27 15:45:28
11.355482,48.182921,511,2022-04-27 15:45:29
11.3554355,48.182883,511,2022-04-27 15:45:30
11.355389,48.182845,511,2022-04-27 15:45:31
11.355346,48.1828075,511,2022-04-27 15:45:32
11.355303,48.18277,511,2022-04-27 15:45:33
11.355268,48.182734,511,2022-04-27 15:45:34
11.355233,48.182698,511,2022-04-27 15:45:35
11.355209,48.1826655,511,2022-04-27 15:45:36
11.355185,48.182633,511,2022-04-27 15:45:37
11.355174,48.1826035,511,2022-04-27 15:45:38
11.355163,48.182574,511,2022-04-27 15:45:39
11.355162,48.1825475,511,2022-04-27 15:45:40
11.355161,48.182521,511,2022-04-27 15:45:41
11.355173,48.1824965,510,2022-04-27 15:45:42
11.355185,48.182472,510,2022-04-27 15:45:43
11.355215,48.182445,510,2022-04-27 15:45:44
11.355245,48.182418,510,2022-04-27 15:45:45
11.355289,48.18239,510,2022-04-27 15:45:46
11.355333,48.182362,510,2022-04-27 15:45:47
11.35539,48.182335,510,2022-04-27 15:45:48
11.355447,48.182308,510,2022-04-27 15:45:49
11.3555055,48.1822855,510,2022-04-27 15:45:50
11.355564,48.182263,511,2022-04-27 15:45:51
11.355622,48.182251,511,2022-04-27 15:45:52
11.35568,48.182239,511,2022-04-27 15:45:53
11.35574,48.1822395,511,2022-04-27 15:45:54
11.3558,48.18224,511,2022-04-27 15:45:55
11.3558585,48.182249,511,2022-04-27 15:45:56
11.355917,48.182258,511,2022-04-27 15:45:57
11.35597,48.1822725,511,2022-04-27 15:45:58
11.356023,48.182287,511,2022-04-27 15:45:59
11.3560665,48.182303,511,2022-04-27 15:46:00
11.35611,48.182319,511,2022-04-27 15:46:01
11.356145,48.182337,511,2022-04-27 15:46:02
11.35618,48.182355,511,2022-04-27 15:46:03
11.3562075,48.182377,511,2022-04-27 15:46:04
11.356235,48.182399,511,2022-04-27 15:46:05
11.3562585,48.182425,511,2022-04-27 15:46:06
11.356282,48.182451,511,2022-04-27 15:46:07
11.3563035,48.182478,511,2022-04-27 15:46:08
11.356325,48.182505,511,2022-04-27 15:46:09
11.356346,48.182532,511,2022-04-27 15:46:10
11.356367,48.182559,511,2022-04-27 15:46:11
11.3563865,48.182586,511,2022-04-27 15:46:12
11.356406,48.182613,511,2022-04-27 15:46:13
11.356427,48.182641,511,2022-04-27 15:46:14
11.356448,48.182669,511,2022-04-27 15:46:15
11.3564705,48.1827,511,2022-04-27 15:46:16
11.356493,48.182731,511,2022-04-27 15:46:17
11.3565175,48.182764,511,2022-04-27 15:46:18
11.356542,48.182797,511,2022-04-27 15:46:19
11.356568,48.182831,511,2022-04-27 15:46:20
11.356594,48.182865,511,2022-04-27 15:46:21
11.3566205,48.1828985,511,2022-04-27 15:46:22
11.356647,48.182932,511,2022-04-27 15:46:23
11.356705,48.1830085,511,2022-04-27 15:46:24
11.356763,48.183085,511,2022-04-27 15:46:25
