longitude,latitude,altitude,timestamp
11.356860045343637,48.18309327587485,0,2022-04-27 15:44:53
11.356862224638462,48.18310006521642,0,2022-04-27 15:44:54
11.356881083920598,48.18314532749355,0,2022-04-27 15:44:55
11.356889382004738,48.18318891339004,0,2022-04-27 15:44:56
11.356872785836458,48.18327290005982,0,2022-04-27 15:44:57
11.35684504173696,48.183318665251136,0,2022-04-27 15:44:58
11.356764994561672,48.183402735739946,0,2022-04-27 15:44:59
11.35665393434465,48.183474233374,0,2022-04-27 15:45:00
11.35651571676135,48.18352251313627,0,2022-04-27 15:45:01
11.356443297117949,48.18354128859937,0,2022-04-27 15:45:02
11.356366770341992,48.18354891613126,0,2022-04-27 15:45:03
11.356159569695592,48.183538941666484,0,2022-04-27 15:45:04
11.356094693765044,48.18352854810655,0,2022-04-27 15:45:05
11.355975922197104,48.18348152562976,0,2022-04-27 15:45:06
11.355975922197104,48.18348152562976,0,2022-04-27 15:45:07
11.355872489511967,48.1834118720144,0,2022-04-27 15:45:08
11.355872489511967,48.1834118720144,0,2022-04-27 15:45:09
11.355779198929667,48.18332763388753,0,2022-04-27 15:45:10
11.355615500360727,48.18316644988954,0,2022-04-27 15:45:11
11.355533273890615,48.18308682180941,0,2022-04-27 15:45:12
11.355533273890615,48.18308682180941,0,2022-04-27 15:45:13
11.355451885610819,48.183007864281535,0,2022-04-27 15:45:14
11.355372928082943,48.182933097705245,0,2022-04-27 15:45:15
11.355300173163414,48.18285875022411,0,2022-04-27 15:45:16
11.355265136808157,48.18282254040241,0,2022-04-27 15:45:17
11.355193806812167,48.18275540135801,0,2022-04-27 15:45:18
11.355193806812167,48.18275540135801,0,2022-04-27 15:45:19
11.355126332491636,48.182682897895575,0,2022-04-27 15:45:20
11.355126332491636,48.182682897895575,0,2022-04-27 15:45:21
11.35507964529097,48.1826089695096,0,2022-04-27 15:45:22
11.355070676654577,48.182570999488235,0,2022-04-27 15:45:23
11.355071682482958,48.18253261037171,0,2022-04-27 15:45:24
11.355118788778782,48.182420041412115,0,2022-04-27 15:45:25
11.355142425745726,48.18238358013332,0,2022-04-27 15:45:26
11.355203948915005,48.182324739173055,0,2022-04-27 15:45:27
11.355245690792799,48.18229766562581,0,2022-04-27 15:45:28
11.355390613898635,48.18222465924919,0,2022-04-27 15:45:29
11.355448113754392,48.18220789544284,0,2022-04-27 15:45:30
11.355577614158392,48.18217998370528,0,2022-04-27 15:45:31
11.355640394613147,48.18217445164919,0,2022-04-27 15:45:32
11.355836782604456,48.1821824144572,0,2022-04-27 15:45:33
11.356105590239167,48.182295486330986,0,2022-04-27 15:45:34
11.356272976845503,48.18241492845118,0,2022-04-27 15:45:35
11.356474310159683,48.18255121819675,0,2022-04-27 15:45:36
11.356633063405752,48.18266227841377,0,2022-04-27 15:45:37
11.356837414205074,48.18280862644315,0,2022-04-27 15:45:38
11.35695786215365,48.18294659256935,0,2022-04-27 15:45:39
11.357013517990708,48.18305706605315,0,2022-04-27 15:45:40
